dataset,id,cross_id,unique_question_id,category,question_polarity,image_sha256,natural_unit_id
bbq_v,01_03_0072_2_01,01_03_0072_2,Q3585,Age,neg,d6b42131d425c0869bf3ba89a277f78a46452579587dbe7515e5d0f508f45b46,Q3585
bbq_v,01_03_0072_2_02,01_03_0072_2,Q3585,Age,neg,9156d75239438d7fc035b2a3f70844e2d8d3f09ab1d13daa79c9ce34cc26078c,Q3585
bbq_v,01_03_0072_2_03,01_03_0072_2,Q3585,Age,neg,999e661ca74a981bab719861f6ad51bfbc64935ebe43e3d46ae365bc5f876e95,Q3585
bbq_v,01_03_0074_1_01,01_03_0074_1,Q3585,Age,nonneg,d6b42131d425c0869bf3ba89a277f78a46452579587dbe7515e5d0f508f45b46,Q3585
bbq_v,01_03_0074_1_02,01_03_0074_1,Q3585,Age,nonneg,9156d75239438d7fc035b2a3f70844e2d8d3f09ab1d13daa79c9ce34cc26078c,Q3585
bbq_v,01_03_0074_1_03,01_03_0074_1,Q3585,Age,nonneg,999e661ca74a981bab719861f6ad51bfbc64935ebe43e3d46ae365bc5f876e95,Q3585
bbq_v,01_03_0084_2_01,01_03_0084_2,Q3217,Age,neg,8cf433acb37551c4da134cecdbde78437cfeb65f87f3c709e8d4c3b93417374e,Q3217
bbq_v,01_03_0084_2_02,01_03_0084_2,Q3217,Age,neg,aa44a103840223040ac6df636e9c83dc60f147169cc2609929c1a0af5178c97e,Q3217
bbq_v,01_03_0084_2_03,01_03_0084_2,Q3217,Age,neg,d1ad28efb09fec48b5373e8744824c232b22c5cf3e404fc1eae86d64089cd2dc,Q3217
bbq_v,01_03_0086_1_01,01_03_0086_1,Q3217,Age,nonneg,8cf433acb37551c4da134cecdbde78437cfeb65f87f3c709e8d4c3b93417374e,Q3217
bbq_v,01_03_0086_1_02,01_03_0086_1,Q3217,Age,nonneg,aa44a103840223040ac6df636e9c83dc60f147169cc2609929c1a0af5178c97e,Q3217
bbq_v,01_03_0086_1_03,01_03_0086_1,Q3217,Age,nonneg,d1ad28efb09fec48b5373e8744824c232b22c5cf3e404fc1eae86d64089cd2dc,Q3217
bbq_v,01_04_0124_2_01,01_04_0124_2,Q3033,Age,neg,f47a51fcb606d8b5ce08822b86d901ead365f795e442f202c530cd81c6671c87,Q3033
bbq_v,01_04_0124_2_02,01_04_0124_2,Q3033,Age,neg,fa32a75c6601d480adff17364577e8ab50702d7fd7cf6658d358391358902853,Q3033
bbq_v,01_04_0124_2_03,01_04_0124_2,Q3033,Age,neg,7ba2bfc44c6eecd21550067d854188912a1c3a477a6c4c030ebca58e355a94e7,Q3033
bbq_v,01_04_0126_1_01,01_04_0126_1,Q3033,Age,nonneg,f47a51fcb606d8b5ce08822b86d901ead365f795e442f202c530cd81c6671c87,Q3033
bbq_v,01_04_0126_1_02,01_04_0126_1,Q3033,Age,nonneg,fa32a75c6601d480adff17364577e8ab50702d7fd7cf6658d358391358902853,Q3033
bbq_v,01_04_0126_1_03,01_04_0126_1,Q3033,Age,nonneg,7ba2bfc44c6eecd21550067d854188912a1c3a477a6c4c030ebca58e355a94e7,Q3033
bbq_v,01_04_0172_2_01,01_04_0172_2,Q3028,Age,neg,5d37cb1cf72bc54ed32b41186bdc4ef197275232548a7cbe60586dcda985a2ac,Q3028
bbq_v,01_04_0172_2_02,01_04_0172_2,Q3028,Age,neg,605769464f84fd58a1964deaf86337d1ece0e27090ff589b102558f280e89703,Q3028
bbq_v,01_04_0174_1_01,01_04_0174_1,Q3028,Age,nonneg,5d37cb1cf72bc54ed32b41186bdc4ef197275232548a7cbe60586dcda985a2ac,Q3028
bbq_v,01_04_0174_1_02,01_04_0174_1,Q3028,Age,nonneg,605769464f84fd58a1964deaf86337d1ece0e27090ff589b102558f280e89703,Q3028
bbq_v,01_05_0236_2_03,01_05_0236_2,Q6446,Age,neg,4012ae1a50675fdb77339421f13f9acf886e34cba01fce8dbdfa066a436df232,Q6446
bbq_v,01_05_0238_1_03,01_05_0238_1,Q6446,Age,nonneg,4012ae1a50675fdb77339421f13f9acf886e34cba01fce8dbdfa066a436df232,Q6446
bbq_v,01_06_0280_2_01,01_06_0280_2,Q85,Age,neg,2c121a1bc6a4a88661a431dbab297bb0b7729d4e970e4a786abbe30689614c1e,Q85
bbq_v,01_06_0280_2_02,01_06_0280_2,Q85,Age,neg,8dee09c45f539234564ffec92500554f3bfa47d28a69078c6f023958b95c6edb,Q85
bbq_v,01_06_0280_2_03,01_06_0280_2,Q85,Age,neg,958861f5127fd3638ecd44a994dbb21ecf6df1e681e38e4cef86d161925f4c91,Q85
bbq_v,01_06_0282_1_01,01_06_0282_1,Q85,Age,nonneg,2c121a1bc6a4a88661a431dbab297bb0b7729d4e970e4a786abbe30689614c1e,Q85
bbq_v,01_06_0282_1_02,01_06_0282_1,Q85,Age,nonneg,8dee09c45f539234564ffec92500554f3bfa47d28a69078c6f023958b95c6edb,Q85
bbq_v,01_06_0282_1_03,01_06_0282_1,Q85,Age,nonneg,958861f5127fd3638ecd44a994dbb21ecf6df1e681e38e4cef86d161925f4c91,Q85
