dataset,category,example_id,case_id,question_index,context_condition,question_polarity,natural_unit_id
bbq,Age,12,3,1,ambig,neg,Age:3
bbq,Age,13,3,1,disambig,neg,Age:3
bbq,Age,14,3,1,ambig,nonneg,Age:3
bbq,Age,15,3,1,disambig,nonneg,Age:3
bbq,Age,16,4,1,ambig,neg,Age:4
bbq,Age,17,4,1,disambig,neg,Age:4
bbq,Age,18,4,1,ambig,nonneg,Age:4
bbq,Age,19,4,1,disambig,nonneg,Age:4
bbq,Age,32,8,2,ambig,neg,Age:8
bbq,Age,33,8,2,disambig,neg,Age:8
bbq,Age,34,8,2,ambig,nonneg,Age:8
bbq,Age,35,8,2,disambig,nonneg,Age:8
bbq,Age,64,16,3,ambig,neg,Age:16
bbq,Age,65,16,3,disambig,neg,Age:16
bbq,Age,66,16,3,ambig,nonneg,Age:16
bbq,Age,67,16,3,disambig,nonneg,Age:16
bbq,Age,128,32,4,ambig,neg,Age:32
bbq,Age,129,32,4,disambig,neg,Age:32
bbq,Age,130,32,4,ambig,nonneg,Age:32
bbq,Age,131,32,4,disambig,nonneg,Age:32
bbq,Age,140,35,4,ambig,neg,Age:35
bbq,Age,141,35,4,disambig,neg,Age:35
bbq,Age,142,35,4,ambig,nonneg,Age:35
bbq,Age,143,35,4,disambig,nonneg,Age:35
bbq,Age,204,51,5,ambig,neg,Age:51
bbq,Age,205,51,5,disambig,neg,Age:51
bbq,Age,206,51,5,ambig,nonneg,Age:51
bbq,Age,207,51,5,disambig,nonneg,Age:51
bbq,Age,268,67,6,ambig,neg,Age:67
bbq,Age,269,67,6,disambig,neg,Age:67
bbq,Age,270,67,6,ambig,nonneg,Age:67
bbq,Age,271,67,6,disambig,nonneg,Age:67
bbq,Age,276,69,6,ambig,neg,Age:69
bbq,Age,277,69,6,disambig,neg,Age:69
bbq,Age,278,69,6,ambig,nonneg,Age:69
bbq,Age,279,69,6,disambig,nonneg,Age:69
bbq,Age,316,79,6,ambig,neg,Age:79
bbq,Age,317,79,6,disambig,neg,Age:79
bbq,Age,318,79,6,ambig,nonneg,Age:79
bbq,Age,319,79,6,disambig,nonneg,Age:79
bbq,Age,432,108,7,ambig,neg,Age:108
bbq,Age,433,108,7,disambig,neg,Age:108
bbq,Age,434,108,7,ambig,nonneg,Age:108
bbq,Age,435,108,7,disambig,nonneg,Age:108
bbq,Age,640,160,8,ambig,neg,Age:160
bbq,Age,641,160,8,disambig,neg,Age:160
bbq,Age,642,160,8,ambig,nonneg,Age:160
bbq,Age,643,160,8,disambig,nonneg,Age:160
bbq,Age,688,172,9,ambig,neg,Age:172
bbq,Age,689,172,9,disambig,neg,Age:172
bbq,Age,690,172,9,ambig,nonneg,Age:172
bbq,Age,691,172,9,disambig,nonneg,Age:172
bbq,Age,696,174,9,ambig,neg,Age:174
bbq,Age,697,174,9,disambig,neg,Age:174
bbq,Age,698,174,9,ambig,nonneg,Age:174
bbq,Age,699,174,9,disambig,nonneg,Age:174
bbq,Age,828,207,10,ambig,neg,Age:207
bbq,Age,829,207,10,disambig,neg,Age:207
bbq,Age,830,207,10,ambig,nonneg,Age:207
